job,system,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_permit_days,filing_to_permit_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
B00560232-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1492,49.0,1008,33.1,,,False,
B00560232-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1491,49.0,1080,35.5,,,False,
B00560232-S3,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),1128,37.1,646,21.2,,,False,
B00560232-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1521,50.0,1175,38.6,,,False,
B00560232-S5,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1667,54.8,1064,35.0,,,False,
B00560232-S7,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1547,50.8,842,27.7,,,False,
B00560420-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1491,49.0,1007,33.1,,,False,
B00560420-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1491,49.0,1078,35.4,,,False,
B00560420-S3,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),1128,37.1,644,21.2,,,False,
B00560420-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1521,50.0,1169,38.4,,,False,
B00560420-S6,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1665,54.7,1051,34.5,,,False,
B00560420-S9,DOB NOW,2024,BROOKLYN,OTHERS,0,Large (11-30 fl),599,19.7,52,1.7,,,False,
B00561243-S2,DOB NOW,2024,BROOKLYN,OTHERS,0,Mid (4-10 fl),456,15.0,217,7.1,,,False,
B00561243-S3,DOB NOW,2024,BROOKLYN,OTHERS,0,Mid (4-10 fl),452,14.8,106,3.5,,,False,
B00561243-S4,DOB NOW,2024,BROOKLYN,OTHERS,0,Mid (4-10 fl),414,13.6,170,5.6,,,False,
B00561243-S5,DOB NOW,2024,BROOKLYN,OTHERS,0,Mid (4-10 fl),384,12.6,62,2.0,,,False,
B00561243-S6,DOB NOW,2024,BROOKLYN,OTHERS,0,Mid (4-10 fl),384,12.6,61,2.0,,,False,
B00561243-S7,DOB NOW,2024,BROOKLYN,OTHERS,0,Mid (4-10 fl),280,9.2,0,,,,False,
B00561383-S1,DOB NOW,2022,BROOKLYN,OTHERS,0,Mid (4-10 fl),1279,42.0,35,1.1,,,False,
B00563137-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),1672,54.9,831,27.3,,,False,
B00563137-S6,DOB NOW,2022,BROOKLYN,OTHERS,0,Mid (4-10 fl),1282,42.1,708,23.3,,,False,
B00564411-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1539,50.6,204,6.7,,,False,
B00564411-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1420,46.6,210,6.9,,,False,
B00564411-S3,DOB NOW,2023,BROOKLYN,OTHERS,0,Large (11-30 fl),804,26.4,61,2.0,,,False,
B00564411-S4,DOB NOW,2023,BROOKLYN,OTHERS,0,Large (11-30 fl),792,26.0,1,0.0,,,False,
B00564411-S5,DOB NOW,2023,BROOKLYN,OTHERS,0,Large (11-30 fl),770,25.3,64,2.1,,,False,
B00564411-S6,DOB NOW,2023,BROOKLYN,OTHERS,0,Large (11-30 fl),754,24.8,20,0.7,,,False,
B00564411-S7,DOB NOW,2023,BROOKLYN,OTHERS,0,Large (11-30 fl),608,20.0,8,0.3,,,False,
B00565465-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Tower (30+ fl),1192,39.2,69,2.3,,,False,
B00565465-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Tower (30+ fl),1130,37.1,122,4.0,,,False,
B00568816-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1456,47.8,805,26.4,,,False,
B00568816-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1456,47.8,784,25.8,,,False,
B00568816-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1453,47.7,774,25.4,,,False,
B00568816-S4,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),1367,44.9,835,27.4,,,False,
B00568816-S5,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),1297,42.6,763,25.1,,,False,
B00568816-S6,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),1314,43.2,635,20.9,,,False,
B00568816-S7,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1317,43.3,898,29.5,,,False,
B00568816-S8,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),1432,47.0,1226,40.3,,,False,
B00568816-S9,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),1432,47.0,1226,40.3,,,False,
B00568816-Z3,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),1218,40.0,680,22.3,,,False,
B00568816-Z5,DOB NOW,2023,BROOKLYN,OTHERS,0,Large (11-30 fl),698,22.9,1,0.0,,,False,
B00568816-Z6,DOB NOW,2024,BROOKLYN,OTHERS,0,Large (11-30 fl),451,14.8,386,12.7,,,False,
B00569738-S1,DOB NOW,2022,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),1090,35.8,83,2.7,,,False,
B00569738-S2,DOB NOW,2022,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),1441,47.3,107,3.5,,,False,
B00570699-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),843,27.7,459,15.1,,,False,
B00570699-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),841,27.6,327,10.7,,,False,
B00570699-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),841,27.6,327,10.7,,,False,
B00570699-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),851,28.0,847,27.8,,,False,
B00570699-S5,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),848,27.9,491,16.1,,,False,
B00570699-S6,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),872,28.6,490,16.1,,,False,
