job,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
421235764,2015,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),846,27.8,,,False,
421235782,2016,QUEENS,OTHERS,0,Small (1-3 fl),861,28.3,861,28.3,True,
421236068,2015,QUEENS,OTHERS,6,Mid (4-10 fl),1006,33.0,984,32.3,True,
421236086,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),259,8.5,259,8.5,True,
421236095,2015,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),730,24.0,730,24.0,True,
421236415,2015,QUEENS,OTHERS,7,Mid (4-10 fl),1022,33.6,836,27.5,True,
421236692,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),714,23.5,714,23.5,True,
421236763,2015,QUEENS,OTHERS,5,Mid (4-10 fl),1212,39.8,1212,39.8,True,
421239216,2016,QUEENS,OTHERS,0,Small (1-3 fl),1821,59.8,1363,44.8,True,
421239582,2016,QUEENS,OTHERS,4,Mid (4-10 fl),2590,85.1,2590,85.1,True,
421240213,2015,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),80,2.6,80,2.6,True,
421240712,2015,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),665,21.8,665,21.8,True,
421241490,2015,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1854,60.9,1854,60.9,True,
421241515,2015,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),561,18.4,519,17.0,True,
421241524,2015,QUEENS,OTHERS,1,Small (1-3 fl),561,18.4,519,17.0,True,
421242729,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1586,52.1,1586,52.1,True,
421242792,2015,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),607,19.9,607,19.9,True,
421243345,2015,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),381,12.5,381,12.5,True,
421243354,2015,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),381,12.5,381,12.5,True,
421243363,2015,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),379,12.5,379,12.5,True,
421243372,2015,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),379,12.5,379,12.5,True,
421243791,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),778,25.6,760,25.0,True,
421244013,2015,QUEENS,OTHERS,4,Mid (4-10 fl),2043,67.1,2043,67.1,True,
421244022,2016,QUEENS,OTHERS,0,Small (1-3 fl),1864,61.2,1864,61.2,True,
421244040,2015,QUEENS,OTHERS,5,Mid (4-10 fl),2722,89.4,2722,89.4,True,
421245334,2015,QUEENS,OTHERS,1,Small (1-3 fl),1854,60.9,1854,60.9,True,
421246654,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1205,39.6,1205,39.6,True,
421246878,2015,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1081,35.5,1081,35.5,True,
421246921,2015,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),431,14.2,431,14.2,True,
421247181,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1204,39.6,1028,33.8,True,
421247225,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),967,31.8,967,31.8,True,
421247341,2015,QUEENS,OTHERS,5,Mid (4-10 fl),2274,74.7,2274,74.7,True,
421247467,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1027,33.7,1027,33.7,True,
421247519,2015,QUEENS,OTHERS,5,Mid (4-10 fl),1224,40.2,1224,40.2,True,
421247617,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),388,12.7,388,12.7,True,
421247902,2015,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),575,18.9,575,18.9,True,
421247966,2015,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),853,28.0,,,False,
421247975,2015,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),853,28.0,,,False,
421248527,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),805,26.4,,,False,
421248554,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),805,26.4,,,False,
421248821,2015,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),773,25.4,773,25.4,True,
421248830,2015,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1123,36.9,1123,36.9,True,
421249189,2015,QUEENS,OTHERS,7,Mid (4-10 fl),1504,49.4,954,31.3,True,
421249704,2015,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1028,33.8,1028,33.8,True,
421249713,2015,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1024,33.6,1024,33.6,True,
421249795,2016,QUEENS,OTHERS,0,Small (1-3 fl),2707,88.9,2707,88.9,True,
421250014,2015,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),949,31.2,852,28.0,True,
421250256,2015,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),790,26.0,790,26.0,True,
421250452,2015,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1122,36.9,1122,36.9,True,
421250504,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),2133,70.1,2133,70.1,True,
421250602,2015,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),786,25.8,786,25.8,True,
421250620,2016,QUEENS,OTHERS,6,Mid (4-10 fl),2689,88.3,2689,88.3,True,
421250791,2017,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),2727,89.6,2727,89.6,True,
421250960,2016,QUEENS,1-2-3 FAMILY,0,Small (1-3 fl),901,29.6,901,29.6,True,
421251068,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1045,34.3,1045,34.3,True,
421251111,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1041,34.2,1041,34.2,True,
421251594,2016,QUEENS,OTHERS,6,Mid (4-10 fl),2232,73.3,1857,61.0,True,
421251683,2017,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),576,18.9,576,18.9,True,
421251987,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1107,36.4,1107,36.4,True,
421252245,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1757,57.7,1757,57.7,True,
421252566,2016,QUEENS,OTHERS,3,Small (1-3 fl),2222,73.0,2222,73.0,True,
421253155,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1296,42.6,1296,42.6,True,
421253208,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1064,35.0,,,False,
421253217,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1118,36.7,1118,36.7,True,
421253486,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1055,34.7,1055,34.7,True,
421253538,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),932,30.6,932,30.6,True,
421253547,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),932,30.6,932,30.6,True,
421253627,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),902,29.6,902,29.6,True,
421253690,2016,QUEENS,OTHERS,0,Small (1-3 fl),1449,47.6,1449,47.6,True,
